CVEGEO,n_salud,n_educacion,n_comercio,n_manufactura,n_gobierno,n_total,empleos_grandes,empleo_total_est,indice_atraccion,indice_atraccion_norm
2800300010186,45,10,301,18,3,619,3,2977.0,490,56.8
2800300010190,41,26,231,27,10,617,5,3278.0,479,55.6
2800300010218,2,4,44,12,1,141,3,1064.5,76,8.8
2800300010237,4,1,53,5,0,112,1,508.5,73,8.5
2800300010472,0,0,16,1,0,20,0,50.0,17,2.0
2800300010487,1,2,16,7,1,34,0,137.5,34,3.9
2800300010491,4,5,22,5,2,73,0,280.0,58,6.7
2800300010504,0,0,30,13,0,66,0,204.5,43,5.0
2800300010519,0,2,10,6,0,45,0,199.0,22,2.6
2800300010523,0,1,15,4,0,41,0,165.0,22,2.6
2800300010542,0,2,19,4,1,50,0,286.5,31,3.6
2800300010716,1,0,16,3,1,44,1,339.5,24,2.8
2800300010720,0,0,3,0,0,6,0,15.0,3,0.3
280030001074A,1,1,9,2,0,25,0,68.0,17,2.0
2800300010754,0,0,4,1,0,7,0,52.5,5,0.6
2800300010773,0,1,12,7,0,26,0,100.0,22,2.6
2800300010788,0,0,5,0,0,14,0,122.5,5,0.6
2800300010792,0,3,13,3,0,29,0,113.0,25,2.9
2800300010805,2,0,22,8,0,53,0,149.0,36,4.2
280030001081A,1,1,15,5,0,42,0,159.0,26,3.0
2800300010824,0,2,15,4,0,41,0,148.5,25,2.9
2800300010839,3,1,16,9,0,57,2,488.5,37,4.3
2800300010843,0,0,2,1,0,9,0,28.0,3,0.3
2800300011095,0,0,0,0,1,2,1,77.5,2,0.2
2800300011131,1,0,29,6,0,59,1,303.5,38,4.4
2800300011184,0,1,3,0,2,15,2,403.5,10,1.2
2800300011201,0,0,0,7,0,21,4,1308.0,7,0.8
2800300011216,0,0,2,6,0,24,4,1111.5,8,0.9
2800300011220,7,3,61,6,2,164,5,1834.0,101,11.7
2800300011235,0,4,39,5,1,88,0,357.0,58,6.7
2800300011466,0,0,11,3,0,17,0,42.5,14,1.6
2800300011470,0,2,5,3,0,17,0,83.0,14,1.6
280030001149A,0,3,27,7,1,67,1,628.0,45,5.2
280030001156A,0,0,0,3,0,10,3,617.5,3,0.3
2800300011644,0,0,6,0,0,11,0,38.5,6,0.7
2800300011659,0,0,12,2,0,22,0,55.0,14,1.6
2800300011752,0,0,3,0,0,15,2,413.0,3,0.3
2800300011841,1,1,16,2,0,31,0,88.5,24,2.8
2800300011856,0,0,5,0,0,9,0,22.5,5,0.6
2800300011860,0,1,5,2,0,17,3,495.0,10,1.2
2800300011875,1,0,5,2,0,33,1,347.5,10,1.2
280030001188A,0,1,17,3,0,33,0,155.0,23,2.7
2800300011894,0,0,12,3,0,23,0,63.0,15,1.7
2800300011907,0,2,10,3,0,26,0,93.5,19,2.2
2800300011911,8,4,96,16,2,192,0,622.5,152,17.6
2800300011926,0,6,33,7,3,74,0,323.5,64,7.4
2800300011930,0,1,7,1,0,23,2,231.0,11,1.3
2800300011945,1,2,10,4,0,31,1,207.0,23,2.7
