CVEGEO,sector,latitud,longitud,empleados_est,nom_estab,nombre_act
2800300010523,manufactura,22.4011228,-97.93002762,2.5,A QUE TORTILLA,Elaboración de tortillas de maíz y molienda de nixtamal
2803800011141,manufactura,22.31603924,-97.88944167,2.5,A QUE TORTILLA,Elaboración de tortillas de maíz y molienda de nixtamal
2800301222407,manufactura,22.39250135,-97.89884793,2.5,A QUE TORTILLA MOLINO Y TORTILLERIA,Elaboración de tortillas de maíz y molienda de nixtamal
2800900011120,manufactura,22.29643898,-97.82079712,2.5,A.WILLIAMS AGUA PURIFICADA,Purificación y embotellado de agua
2800900010512,manufactura,22.27605803,-97.85000454,2.5,ACHTO SISTEMAS DE ETIQUETADO,Fabricación de telas angostas de tejido de trama y pasamanería
2803800011141,manufactura,22.3162937,-97.89089871,2.5,ACUAMAX,Purificación y embotellado de agua
2800900011012,manufactura,22.24132848,-97.83711475,2.5,AGUA EL GLACIAR,Purificación y embotellado de agua
2803800010694,manufactura,22.30698619,-97.85282038,2.5,AGUA EXPRESS,Purificación y embotellado de agua
2803800010726,manufactura,22.30475377,-97.85332767,2.5,AGUA INMACULADA,Purificación y embotellado de agua
2803800011103,manufactura,22.23526616,-97.86350547,2.5,AGUA INMACULADA GOTA DE VIDA,Purificación y embotellado de agua
2803800010302,manufactura,22.22299443,-97.85778876,2.5,AGUA MANANTIAL,Purificación y embotellado de agua
2803800010618,manufactura,22.30866997,-97.89153325,20.0,AGUA PARAISO,Purificación y embotellado de agua
2800900011101,manufactura,22.29734935,-97.84610638,2.5,AGUA PURA,Purificación y embotellado de agua
2803800010196,manufactura,22.24560668,-97.85747247,2.5,AGUA PURA VIDALES,Purificación y embotellado de agua
2803800010196,manufactura,22.24593255,-97.85955484,2.5,AGUA PURIFICADA,Purificación y embotellado de agua
2803800010459,manufactura,22.21903071,-97.86616064,2.5,AGUA PURIFICADA ANNE,Purificación y embotellado de agua
2800301221292,manufactura,22.36465428,-97.90883224,2.5,AGUA PURIFICADA AQUA FIEL,Purificación y embotellado de agua
2800300011979,manufactura,22.41224443,-97.92130411,2.5,AGUA PURIFICADA AURORA,Purificación y embotellado de agua
2800900010669,manufactura,22.25872342,-97.84383056,2.5,AGUA PURIFICADA BIOPURA,Purificación y embotellado de agua
2800301220909,manufactura,22.33595923,-97.86641067,2.5,AGUA PURIFICADA BLUE WATER,Purificación y embotellado de agua
2800301220379,manufactura,22.32811413,-97.88112468,2.5,AGUA PURIFICADA BLUE WATER,Purificación y embotellado de agua
2800300010773,manufactura,22.4102621,-97.92361934,2.5,AGUA PURIFICADA CELESTIAL,Purificación y embotellado de agua
2800300011911,manufactura,22.40174564,-97.94335926,2.5,AGUA PURIFICADA CELIS,Purificación y embotellado de agua
2803800011387,manufactura,22.28805382,-97.88689859,2.5,AGUA PURIFICADA CERTIFICADA,Purificación y embotellado de agua
2800301220665,manufactura,22.32262965,-97.86070005,2.5,AGUA PURIFICADA DON BOTELLON,Purificación y embotellado de agua
2800301220364,manufactura,22.3236211,-97.88787229,2.5,AGUA PURIFICADA FLORESTA,Purificación y embotellado de agua
2803800011141,manufactura,22.31139185,-97.89345122,2.5,AGUA PURIFICADA GEMINIS,Purificación y embotellado de agua
2803800010177,manufactura,22.24421033,-97.8669154,2.5,AGUA PURIFICADA INRI,Purificación y embotellado de agua
2803800010143,manufactura,22.24711584,-97.86762869,2.5,AGUA PURIFICADA KIWI,Purificación y embotellado de agua
2803800010285,manufactura,22.23157317,-97.86298854,2.5,AGUA PURIFICADA KIWI,Purificación y embotellado de agua
2803800011014,manufactura,22.28595125,-97.88833116,2.5,AGUA PURIFICADA KIWI,Purificación y embotellado de agua
2803800010872,manufactura,22.30797935,-97.86889397,2.5,AGUA PURIFICADA KIWI,Purificación y embotellado de agua
2803800010726,manufactura,22.30169738,-97.85617501,2.5,AGUA PURIFICADA KIWI,Purificación y embotellado de agua
2803800010919,manufactura,22.30144905,-97.8960517,2.5,AGUA PURIFICADA KIWI,Purificación y embotellado de agua
2800900010531,manufactura,22.26756891,-97.85687088,2.5,AGUA PURIFICADA KIWI,Purificación y embotellado de agua
2800300011911,manufactura,22.39084121,-97.94294065,2.5,AGUA PURIFICADA LA FUENTE,Purificación y embotellado de agua
280090001107A,manufactura,22.30510886,-97.8489225,2.5,AGUA PURIFICADA LIGERA,Purificación y embotellado de agua
2803800010213,manufactura,22.23971435,-97.86657264,2.5,AGUA PURIFICADA LIVIANA,Purificación y embotellado de agua
2803800011211,manufactura,22.28203343,-97.89301152,2.5,AGUA PURIFICADA LOS RIOS,Purificación y embotellado de agua
2800301220909,manufactura,22.33476287,-97.86686992,8.0,AGUA PURIFICADA MAS PURA,Purificación y embotellado de agua
2803800010478,manufactura,22.21285099,-97.85254207,2.5,AGUA PURIFICADA MAS PURA,Purificación y embotellado de agua
2800900010705,manufactura,22.25317511,-97.8358538,2.5,AGUA PURIFICADA MIA,Purificación y embotellado de agua
2800900010739,manufactura,22.25253735,-97.82478586,2.5,AGUA PURIFICADA MIRAMAR,Purificación y embotellado de agua
2800900010461,manufactura,22.29060994,-97.84674021,2.5,AGUA PURIFICADA PISCIS,Purificación y embotellado de agua
280090001071A,manufactura,22.25547944,-97.83594964,2.5,AGUA PURIFICADA PREMIUN,Purificación y embotellado de agua
2803800010302,manufactura,22.22621377,-97.86282767,2.5,AGUA PURIFICADA PRIMAVERA,Purificación y embotellado de agua
2803800010302,manufactura,22.22460658,-97.85887943,2.5,AGUA PURIFICADA PURA KIWI,Purificación y embotellado de agua
280030001149A,manufactura,22.39788479,-97.94195426,2.5,AGUA PURIFICADA VITANZA,Purificación y embotellado de agua
2800900010531,manufactura,22.27042703,-97.85599445,2.5,AGUA PURIFICADA WATER SPLASH,Purificación y embotellado de agua
2803800010478,manufactura,22.21137267,-97.85420656,2.5,AGUA PURIFICADA Y HIELO,Purificación y embotellado de agua
2800900010565,manufactura,22.27196154,-97.83646669,2.5,AGUA PURIFICADOR S PURA,Purificación y embotellado de agua
2803800010622,manufactura,22.31044395,-97.88738516,2.5,AGUA PURIFICADORA EL NACIMIENTO,Purificación y embotellado de agua
2803800011033,manufactura,22.28529655,-97.86674069,2.5,AGUA PURIFICADORA KIWI,Purificación y embotellado de agua
2800300010218,manufactura,22.40978052,-97.93628988,2.5,AGUA PURIFICADORA LA FUENTE,Purificación y embotellado de agua
2800301222040,manufactura,22.33381957,-97.86110429,2.5,AGUA PURIFIFICADA SUPREMA,Purificación y embotellado de agua
280090001096A,manufactura,22.28085991,-97.84920886,8.0,AGUARAMA,Purificación y embotellado de agua
2800900010508,manufactura,22.28049446,-97.843078,2.5,AMG SASTRERIA,Confección de prendas de vestir sobre medida
2800900010809,manufactura,22.24555597,-97.83673529,2.5,AMZALDOS,Elaboración de galletas y pastas para sopa
2803800011334,manufactura,22.28074082,-97.88174998,2.5,AQUA,Purificación y embotellado de agua
2803800011014,manufactura,22.28613115,-97.88728145,2.5,AQUA CITY PURIFICADORA,Purificación y embotellado de agua
2800900010758,manufactura,22.25034148,-97.84107416,2.5,AQUA FIT,Purificación y embotellado de agua
2800900010512,manufactura,22.27529694,-97.85156825,2.5,AQUA MIA,Purificación y embotellado de agua
280380001043A,manufactura,22.2200688,-97.87708235,2.5,AQUA PLUS MORELOS,Purificación y embotellado de agua
2803800010694,manufactura,22.30761178,-97.85579014,2.5,AQUALDIA,Purificación y embotellado de agua
2803800010482,manufactura,22.21010009,-97.850823,2.5,AQUALIFE,Purificación y embotellado de agua
2803800010834,manufactura,22.31342233,-97.88702949,2.5,AQUAVIT,Purificación y embotellado de agua
2800300011983,manufactura,22.40894659,-97.91339008,2.5,AQUE TORTILLERIA,Elaboración de tortillas de maíz y molienda de nixtamal
2800900010758,manufactura,22.25077843,-97.84597881,2.5,ARREGLITOS Y MAS..,Confección de prendas de vestir sobre medida
2800900010476,manufactura,22.28814068,-97.85076582,2.5,ARTE AGUA PURIFICADA,Purificación y embotellado de agua
2800900010851,manufactura,22.23353782,-97.84051757,2.5,BARCO DE PAPEL REPOSTERIA,Panificación tradicional
2803800010340,manufactura,22.224482,-97.84927689,2.5,BAZAR CRISCA,Confección de prendas de vestir sobre medida
2800900010480,manufactura,22.28571481,-97.8473767,2.5,BETTER WATTER,Purificación y embotellado de agua
2803800011423,manufactura,22.2924169,-97.87708318,2.5,BIO PURA,Purificación y embotellado de agua
2800301221292,manufactura,22.36478531,-97.908633,2.5,BISQUET,Panificación tradicional
2800300010190,manufactura,22.39301421,-97.93666458,2.5,BISQUETEANDO,Panificación tradicional
2803800011264,manufactura,22.2804793,-97.88651147,2.5,BISQUETEANDO,Panificación tradicional
2803800011438,manufactura,22.28703671,-97.88399519,2.5,BISQUETEANDO,Panificación tradicional
2800900010796,manufactura,22.2457694,-97.84293435,2.5,BISQUETES,Panificación tradicional
280030001149A,manufactura,22.39878968,-97.94074348,2.5,BISQUETES ECHO EN CASA,Panificación tradicional
2800301221254,manufactura,22.37247639,-97.90717145,8.0,BISQUETES SIN NOMBRE,Panificación tradicional
2803800010637,manufactura,22.30904137,-97.88074788,2.5,BISQUETS EL PAN CHINO,Panificación tradicional
