CVEGEO_A,CVEGEO_B,puntaje_A,puntaje_B,diferencia,clasificacion,distancia_m,pobtot_A,pobtot_B
280090001089A,2800900010283,1.53,18.46,16.93,extrema,932.6,678,1556
2800900010067,2800900010156,12.33,5.0,7.33,moderada,1989.9,1736,2859
2800300010491,2800300011131,10.57,5.0,5.57,moderada,743.5,1855,3395
2800301220612,2800301220383,6.5,14.36,7.86,moderada,1249.8,2671,3762
2800300011911,2800300011945,9.93,18.5,8.57,alta,1505.4,11855,1294
2803800010567,2803800010552,8.07,14.36,6.29,moderada,600.4,3764,1913
2800900010067,2800900010052,12.33,19.33,7.0,moderada,1485.5,1736,245
2800300010237,2800300011945,9.2,18.5,9.3,alta,863.2,3776,1294
280030001195A,2800300011964,13.93,8.21,5.71,moderada,478.7,2547,2404
2800900010508,2800900011169,19.62,11.71,7.9,moderada,704.4,2507,2134
2800301222411,2800301222074,18.8,13.27,5.53,moderada,491.8,854,2671
2800900011084,280090001107A,1.93,11.85,9.91,alta,513.3,3252,3082
2800301220665,2803800010552,6.07,14.36,8.29,alta,693.6,3604,1913
2800301221682,2800301222411,8.62,18.8,10.18,alta,759.7,4311,854
2800900010438,2800900010442,7.57,2.14,5.43,moderada,355.2,2054,3659
2800301220631,2800301220383,8.58,14.36,5.78,moderada,506.6,1961,3762
2800900010298,2800900010283,1.46,18.46,17.0,extrema,1064.5,159,1556
2800301222125,2800301221822,6.36,13.07,6.71,moderada,975.1,3300,1080
280090001064A,280090001071A,10.38,15.64,5.26,moderada,933.2,3585,3620
2800900011101,2800900011099,11.53,19.5,7.97,moderada,522.4,2395,2205
2800301221381,2803800011391,8.83,2.93,5.9,moderada,716.1,1450,2236
2800900010599,2800900010052,8.93,19.33,10.4,alta,1120.3,3479,245
280030001081A,2800300010824,9.57,3.14,6.43,moderada,879.2,1133,1324
2800900011050,2800900010565,18.5,9.2,9.3,alta,843.6,2198,4446
2803800010374,2803800010459,15.31,8.85,6.46,moderada,425.0,2518,3631
2800900010955,2803800010995,19.0,8.0,11.0,alta,641.7,3061,3162
2800900010442,2803800010694,2.14,9.73,7.59,moderada,1043.9,3659,4942
2800301221358,2800301221362,7.33,12.33,5.0,moderada,631.9,292,1520
2800900010160,2800900010141,14.21,7.55,6.67,moderada,1358.9,1243,285
2800900010993,2800900010052,5.29,19.33,14.05,extrema,1402.8,3436,245
2803800010618,2803800010919,15.0,9.71,5.29,moderada,879.2,3421,3287
2800301220595,2800301222144,11.6,19.86,8.26,alta,964.1,641,224
2800301222036,2800301222055,2.92,9.0,6.08,moderada,886.7,1408,3267
2800300012159,2800301221790,17.23,10.69,6.54,moderada,389.0,257,4711
2803800011349,2803800010035,13.14,19.87,6.72,moderada,596.9,3135,1196
2803800010887,2803800010868,10.92,5.58,5.34,moderada,503.2,2003,2169
280090001089A,2800900010264,1.53,16.0,14.47,extrema,1341.9,678,2887
2800301220595,2800301220612,11.6,6.5,5.1,moderada,587.5,641,2671
280090001096A,2803800010995,19.2,8.0,11.2,alta,1285.5,1779,3162
2800301221502,2800301221682,16.46,8.62,7.85,moderada,792.1,676,4311
2800300011875,2800300010824,12.57,3.14,9.43,alta,1299.1,407,1324
2800900011099,2803800010726,19.5,9.6,9.9,alta,489.7,2205,5044
2800900010917,2800900010902,10.79,1.8,8.99,alta,854.7,1135,895
2800301220665,2800301220383,6.07,14.36,8.29,alta,953.4,3604,3762
2800301221362,2800301221339,12.33,6.62,5.72,moderada,1014.0,1520,3041
2800900011154,2800900010480,7.73,19.71,11.98,alta,612.7,4054,3013
