CVEGEO,UP_escolaridad_18_24,UP_grado_escolaridad,UP_salud_privada,UP_auto,UP_pc,UP_internet,UP_tv_paga,UP_videojuegos,DOWN_ocupantes_cuarto,DOWN_analfabetismo,DOWN_primaria_incompleta,DOWN_sin_agua,DOWN_sin_drenaje,DOWN_piso_tierra,DOWN_sin_electricidad,V_UP_escolaridad_18_24,V_UP_grado_escolaridad,V_UP_salud_privada,V_UP_auto,V_UP_pc,V_UP_internet,V_UP_tv_paga,V_UP_videojuegos,V_DOWN_ocupantes_cuarto,V_DOWN_analfabetismo,V_DOWN_primaria_incompleta,V_DOWN_sin_agua,V_DOWN_sin_drenaje,V_DOWN_piso_tierra,V_DOWN_sin_electricidad,puntaje_compuesto,POBTOT,NOM_MUN,MUN
2800300010186,0.41743119266055045,10.91,0.0054533060668029995,0.3945720250521921,0.40501043841336115,0.605427974947808,0.1941544885177453,0.1127348643006263,0.77,0.012934518997574777,0.04527081649151172,0.0,0.0,0.008350730688935281,0.0,11.0,11.0,6.0,9.0,10.0,9.0,9.0,9.0,14.0,12.0,12.0,20.0,20.0,9.0,20.0,12.066666666666666,1467,Altamira,3
2800300010190,0.351931330472103,10.99,0.019352124526714348,0.5744125326370757,0.49738903394255873,0.6762402088772846,0.293733681462141,0.15404699738903394,0.75,0.022857142857142857,0.05714285714285714,,0.005221932114882507,,0.0,7.0,12.0,16.0,17.0,14.0,12.0,14.0,14.0,15.0,7.0,10.0,,7.0,,20.0,12.692307692307692,2377,Altamira,3
2800300010218,0.4,9.39,0.00954653937947494,0.453804347826087,0.36141304347826086,0.5733695652173914,0.20108695652173914,0.10869565217391304,0.9,0.027892561983471075,0.12396694214876033,,0.008152173913043478,0.021739130434782608,0.0,9.0,5.0,11.0,13.0,9.0,7.0,9.0,9.0,10.0,5.0,1.0,,6.0,5.0,20.0,8.5,1257,Altamira,3
2800300010237,0.3539651837524178,10.21,0.00423728813559322,0.3093220338983051,0.35423728813559324,0.5805084745762712,0.2305084745762712,0.08983050847457627,0.91,0.01494661921708185,0.06227758007117438,0.006779661016949152,0.002542372881355932,0.003389830508474576,0.0,7.0,9.0,5.0,5.0,8.0,7.0,11.0,7.0,10.0,11.0,9.0,6.0,10.0,13.0,20.0,9.2,3776,Altamira,3
2800300010472,0.25874125874125875,9.24,,0.4416961130742049,0.2756183745583039,0.508833922261484,0.1166077738515901,0.07420494699646643,0.98,0.0390625,0.08333333333333333,,,0.0176678445229682,,3.0,4.0,,12.0,5.0,5.0,4.0,5.0,8.0,3.0,4.0,,,6.0,,5.363636363636363,1034,Altamira,3
2800300010487,0.36082474226804123,9.31,0.0,0.441747572815534,0.2912621359223301,0.5097087378640777,0.1650485436893204,0.0825242718446602,0.98,0.042704626334519574,0.0800711743772242,,,,0.0,7.0,4.0,1.0,12.0,5.0,5.0,7.0,6.0,8.0,2.0,5.0,,,,20.0,6.833333333333333,730,Altamira,3
2800300010491,0.3299492385786802,10.09,0.010242587601078167,0.4657039711191336,0.41335740072202165,0.6227436823104693,0.2111913357400722,0.1444043321299639,0.91,0.03032490974729242,0.0851985559566787,,0.0,0.007220216606498195,0.0,5.0,8.0,11.0,13.0,11.0,9.0,9.0,13.0,10.0,5.0,4.0,,20.0,10.0,20.0,10.571428571428571,1855,Altamira,3
2800300010504,0.3553299492385787,9.37,0.004169562195969423,0.4338235294117647,0.3161764705882353,0.5294117647058824,0.11519607843137254,0.06862745098039216,0.91,0.03167420814479638,0.10497737556561086,0.0,0.00980392156862745,,,7.0,4.0,5.0,12.0,6.0,5.0,4.0,5.0,10.0,4.0,2.0,20.0,6.0,,,6.923076923076923,1439,Altamira,3
2800300010523,0.46206896551724136,10.26,0.010223048327137546,0.4984520123839009,0.33746130030959753,0.5603715170278638,0.12693498452012383,0.06191950464396285,0.88,0.0246189917936694,0.0738569753810082,0.0,0.0,,,13.0,9.0,11.0,14.0,7.0,6.0,4.0,4.0,11.0,7.0,6.0,20.0,20.0,,,10.153846153846153,1076,Altamira,3
2800300010542,0.32083333333333336,9.99,0.0037981551817688553,0.39611650485436894,0.35145631067961164,0.570873786407767,0.141747572815534,0.07572815533980583,1.12,0.025110782865583457,0.06646971935007386,,0.0,,,5.0,8.0,4.0,9.0,8.0,7.0,5.0,6.0,3.0,6.0,8.0,,20.0,,,7.416666666666667,1843,Altamira,3
2800300010716,0.4810126582278481,9.81,0.007619047619047619,0.4726027397260274,0.2773972602739726,0.5136986301369864,0.11301369863013698,0.07191780821917808,0.94,0.0345679012345679,0.07407407407407407,,0.023972602739726026,0.010273972602739725,,14.0,7.0,9.0,13.0,5.0,5.0,4.0,5.0,9.0,3.0,6.0,,3.0,8.0,,7.0,1050,Altamira,3
2800300010720,0.20967741935483872,8.25,,0.2785714285714286,0.12142857142857143,0.3,0.05,,1.08,0.028795811518324606,0.07853403141361257,0.0,0.02142857142857143,0.02857142857142857,0.0,2.0,1.0,,3.0,1.0,1.0,2.0,,4.0,5.0,5.0,20.0,4.0,4.0,20.0,5.538461538461538,514,Altamira,3
